,image,real_calibration,calibration
225,serie_2_angle_151.73_mrad.tiff,146.24860142998318,151.73
226,serie_4_angle_183.06_mrad.tiff,190.75404139972534,183.06
227,serie_4_angle_ 89.06_mrad.tiff,88.5621962620641,89.06
228,serie_4_angle_205.85_mrad.tiff,207.88480892233747,205.85
229,serie_3_angle_ 80.52_mrad.tiff,78.81454405138352,80.52
230,serie_1_angle_231.48_mrad.tiff,230.3666152350167,231.48
231,serie_4_angle_257.12_mrad.tiff,255.9629058166852,257.12
232,serie_1_angle_123.24_mrad.tiff,118.57394425248748,123.24
233,serie_1_angle_114.70_mrad.tiff,115.96916581185677,114.7
234,serie_1_angle_103.30_mrad.tiff,104.26585550056848,103.3
235,serie_3_angle_194.45_mrad.tiff,201.18535990795837,194.45
236,serie_1_angle_ 26.39_mrad.tiff,26.39,26.39
237,serie_0_angle_203.00_mrad.tiff,208.92109296160393,203.0
238,serie_1_angle_151.73_mrad.tiff,157.4984938476742,151.73
239,serie_1_angle_174.52_mrad.tiff,172.4986439502282,174.52
240,serie_0_angle_ 91.91_mrad.tiff,92.14664609400668,91.91
241,serie_0_angle_148.88_mrad.tiff,142.4548496418471,148.88
242,serie_4_angle_174.52_mrad.tiff,172.4986439502282,174.52
243,serie_1_angle_120.39_mrad.tiff,120.34076915262067,120.39
244,serie_1_angle_194.45_mrad.tiff,193.0929989417367,194.45
245,serie_0_angle_222.94_mrad.tiff,221.62341951757605,222.94
246,serie_4_angle_ 20.70_mrad.tiff,20.7,20.7
247,serie_4_angle_277.06_mrad.tiff,270.99005559085117,277.06
248,serie_1_angle_143.18_mrad.tiff,138.09843377827485,143.18
249,serie_1_angle_100.45_mrad.tiff,102.28884093672883,100.45
250,serie_0_angle_183.06_mrad.tiff,177.57778514940568,183.06
251,serie_2_angle_248.58_mrad.tiff,246.89238725081026,248.58
252,serie_0_angle_274.21_mrad.tiff,272.3800810268696,274.21
253,serie_2_angle_200.15_mrad.tiff,206.25261288357493,200.15
254,serie_1_angle_257.12_mrad.tiff,254.19599934791714,257.12
255,serie_0_angle_ 52.03_mrad.tiff,50.58795445509888,52.03
256,serie_1_angle_157.42_mrad.tiff,150.13199386674506,157.42
257,serie_4_angle_294.15_mrad.tiff,295.5602964897162,294.15
258,serie_4_angle_248.58_mrad.tiff,251.57253026319444,248.58
259,serie_1_angle_225.79_mrad.tiff,225.82749637194735,225.79
260,serie_0_angle_285.61_mrad.tiff,283.58007225050574,285.61
261,serie_3_angle_163.12_mrad.tiff,167.1320330817936,163.12
262,serie_2_angle_220.09_mrad.tiff,221.9923644591404,220.09
263,serie_3_angle_177.36_mrad.tiff,178.87722942837615,177.36
264,serie_4_angle_ 52.03_mrad.tiff,53.72773239898556,52.03
265,serie_1_angle_274.21_mrad.tiff,275.77470103024683,274.21
266,serie_4_angle_157.42_mrad.tiff,157.42,157.42
267,serie_0_angle_ 23.55_mrad.tiff,23.55,23.55
268,serie_4_angle_234.33_mrad.tiff,233.25726304022635,234.33
269,serie_0_angle_ 26.39_mrad.tiff,26.39,26.39
270,serie_4_angle_126.09_mrad.tiff,121.50625332823873,126.09
271,serie_2_angle_205.85_mrad.tiff,210.23536034146326,205.85
272,serie_1_angle_ 15.00_mrad.tiff,15.0,15.0
273,serie_1_angle_203.00_mrad.tiff,205.65670088407887,203.0
274,serie_3_angle_137.48_mrad.tiff,137.0898014355642,137.48
275,serie_1_angle_ 63.42_mrad.tiff,64.20891666419189,63.42
276,serie_4_angle_165.97_mrad.tiff,157.76582406335922,165.97
277,serie_4_angle_254.27_mrad.tiff,251.57253026319444,254.27
278,serie_2_angle_114.70_mrad.tiff,117.02906385863798,114.7
279,serie_3_angle_183.06_mrad.tiff,175.62610603279612,183.06
280,serie_1_angle_282.76_mrad.tiff,280.63402287616873,282.76
281,serie_3_angle_ 71.97_mrad.tiff,73.79856006209067,71.97
282,serie_0_angle_154.58_mrad.tiff,154.58,154.58
283,serie_1_angle_251.42_mrad.tiff,248.08712409924874,251.42
284,serie_0_angle_ 66.27_mrad.tiff,66.81232922122359,66.27
285,serie_4_angle_ 63.42_mrad.tiff,62.076403761459375,63.42
286,serie_1_angle_197.30_mrad.tiff,199.4246796451674,197.3
287,serie_4_angle_231.48_mrad.tiff,232.70142240841056,231.48
288,serie_2_angle_ 77.67_mrad.tiff,77.88182755373401,77.67
289,serie_2_angle_183.06_mrad.tiff,188.02898366544355,183.06
290,serie_3_angle_148.88_mrad.tiff,146.37100620664273,148.88
291,serie_3_angle_188.76_mrad.tiff,196.19804637189299,188.76
292,serie_2_angle_197.30_mrad.tiff,202.49275163970842,197.3
293,serie_1_angle_ 71.97_mrad.tiff,73.93724642062233,71.97
294,serie_1_angle_ 97.61_mrad.tiff,96.98591463251516,97.61
295,serie_2_angle_ 43.48_mrad.tiff,43.563026269447754,43.48
296,serie_2_angle_265.67_mrad.tiff,264.1504113296603,265.67
297,serie_3_angle_154.58_mrad.tiff,155.22004711343692,154.58
298,serie_4_angle_288.45_mrad.tiff,287.18901352131604,288.45
299,serie_2_angle_ 71.97_mrad.tiff,71.93024208583522,71.97
300,serie_1_angle_291.30_mrad.tiff,290.2082321057625,291.3
301,serie_4_angle_291.30_mrad.tiff,290.2082321057625,291.3
302,serie_3_angle_100.45_mrad.tiff,101.47302008537467,100.45
303,serie_3_angle_134.64_mrad.tiff,131.83681321865214,134.64
304,serie_4_angle_240.03_mrad.tiff,237.14210391839953,240.03
305,serie_1_angle_279.91_mrad.tiff,278.9705264365498,279.91
306,serie_1_angle_ 57.73_mrad.tiff,57.34935464488386,57.73
307,serie_4_angle_200.15_mrad.tiff,200.26960581706905,200.15
308,serie_4_angle_194.45_mrad.tiff,199.40000485483245,194.45
309,serie_4_angle_ 54.88_mrad.tiff,55.47970814977283,54.88
310,serie_3_angle_ 23.55_mrad.tiff,23.55,23.55
311,serie_4_angle_285.61_mrad.tiff,286.131062099588,285.61
312,serie_0_angle_117.55_mrad.tiff,119.25865493375223,117.55
313,serie_0_angle_271.36_mrad.tiff,268.686942457648,271.36
314,serie_4_angle_ 83.36_mrad.tiff,83.94958187341494,83.36
315,serie_0_angle_168.82_mrad.tiff,160.48592447824473,168.82
316,serie_2_angle_ 26.39_mrad.tiff,26.39,26.39
317,serie_1_angle_137.48_mrad.tiff,132.1509098786275,137.48
318,serie_4_angle_228.64_mrad.tiff,227.49782444664052,228.64
319,serie_1_angle_ 83.36_mrad.tiff,82.9028697855683,83.36
320,serie_4_angle_ 46.33_mrad.tiff,47.24966304435632,46.33
321,serie_3_angle_117.55_mrad.tiff,119.63134999538909,117.55
322,serie_3_angle_ 86.21_mrad.tiff,85.77480354495303,86.21
323,serie_0_angle_245.73_mrad.tiff,244.32822827956315,245.73
324,serie_4_angle_217.24_mrad.tiff,217.91826705761179,217.24
325,serie_3_angle_146.03_mrad.tiff,147.59712012418134,146.03
326,serie_0_angle_214.39_mrad.tiff,220.4952835636301,214.39
327,serie_2_angle_251.42_mrad.tiff,250.29520959225857,251.42
328,serie_3_angle_ 57.73_mrad.tiff,57.59721753344097,57.73
329,serie_2_angle_131.79_mrad.tiff,135.49502779542559,131.79
330,serie_2_angle_203.00_mrad.tiff,210.23536034146326,203.0
331,serie_0_angle_ 77.67_mrad.tiff,78.24427048395955,77.67
332,serie_3_angle_140.33_mrad.tiff,142.06222811952455,140.33
333,serie_0_angle_ 15.00_mrad.tiff,15.0,15.0
334,serie_1_angle_ 94.76_mrad.tiff,94.66726414619839,94.76
335,serie_1_angle_220.09_mrad.tiff,225.05705181570409,220.09
336,serie_2_angle_ 20.70_mrad.tiff,20.7,20.7
337,serie_2_angle_111.85_mrad.tiff,113.46150041051719,111.85
338,serie_3_angle_ 94.76_mrad.tiff,95.63550296600877,94.76
339,serie_2_angle_ 54.88_mrad.tiff,54.97213379227756,54.88
340,serie_1_angle_168.82_mrad.tiff,170.72688971695845,168.82
341,serie_4_angle_203.00_mrad.tiff,208.60316430270075,203.0
342,serie_4_angle_ 66.27_mrad.tiff,65.8775310379317,66.27
343,serie_4_angle_ 23.55_mrad.tiff,23.55,23.55
344,serie_2_angle_274.21_mrad.tiff,272.12862746678485,274.21
345,serie_0_angle_114.70_mrad.tiff,118.08896190541918,114.7
346,serie_3_angle_274.21_mrad.tiff,272.5456685201709,274.21
347,serie_0_angle_103.30_mrad.tiff,103.32784166724178,103.3
